overall_score,technical_skills_score,experience_score,projects_score,education_score,soft_skills_score,certifications_score,cv_completeness_score,missing_required_skills_count,missing_optional_skills_count,ahp_explainable_score,final_score
46.15,6.61,33.79,5.23,50.8,6.34,46.8,51.87,2,5,25.97,10.81
49.73,12.67,32.45,5.23,43.13,12.85,28.25,73.62,1,6,22.15,16.95
64.79,75.04,40.15,30.86,30.26,59.21,29.3,92.1,2,4,54.21,43.53
79.65,76.01,70.52,61.65,86.49,41.6,32.58,93.24,0,1,68.65,74.66
77.56,65.86,75.9,30.92,76.03,57.34,8.53,85.59,1,3,65.0,52.1
60.13,54.02,47.98,70.92,71.88,9.95,69.79,95.77,1,4,57.55,47.98
96.71,66.01,73.43,61.44,77.72,18.83,77.4,91.41,1,3,66.76,59.29
20.02,42.47,3.15,44.05,64.95,57.91,34.91,86.9,2,6,42.13,13.5
91.51,71.76,74.48,86.95,88.91,58.1,4.63,90.41,1,2,65.02,73.83
73.87,99.3,81.05,90.28,70.0,54.38,12.34,98.65,0,0,85.6,82.91
41.98,55.5,46.26,40.82,8.94,10.73,16.68,36.27,1,4,37.86,32.77
52.18,60.3,48.63,26.8,50.1,42.67,15.79,85.04,2,2,47.07,39.32
70.99,58.61,53.55,56.3,46.64,46.15,51.57,96.02,2,3,55.33,44.79
72.63,56.25,39.98,28.6,75.52,5.0,19.64,76.69,1,4,35.75,41.83
45.98,18.61,8.45,33.05,8.38,27.37,47.92,94.77,3,4,26.49,4.87
66.15,35.46,43.99,51.25,34.83,14.93,58.54,99.62,1,3,46.65,39.78
57.95,38.44,67.48,46.69,53.16,13.56,12.66,96.75,3,2,47.48,32.06
61.28,38.62,45.48,67.18,63.26,58.42,46.91,91.7,2,3,55.64,41.67
30.27,38.43,46.86,27.76,63.67,44.03,42.51,62.03,1,4,44.11,28.6
78.84,71.71,65.87,96.74,59.65,29.22,50.87,75.18,1,1,68.07,62.19
30.06,38.07,49.68,39.64,67.42,58.65,43.34,50.71,4,2,43.58,18.97
81.28,42.29,67.69,58.75,25.99,9.91,2.46,53.76,2,5,43.37,33.03
71.19,38.65,58.88,65.1,80.48,74.03,2.59,78.04,3,3,56.68,34.57
46.35,36.97,44.05,2.69,16.42,46.64,42.91,45.23,2,3,34.21,20.21
66.57,39.26,75.43,32.62,64.0,23.92,35.42,39.69,2,4,40.5,37.39
68.68,69.72,77.95,39.82,49.48,12.31,40.24,99.92,0,0,57.32,63.93
49.43,50.71,37.89,35.1,26.06,40.8,44.42,77.02,1,1,42.93,37.08
74.6,45.11,48.99,70.45,56.77,66.81,41.35,87.87,1,2,59.4,53.13
21.9,28.07,43.56,43.11,30.69,35.72,49.74,78.73,2,4,41.45,23.22
50.12,25.64,23.81,1.97,67.18,7.73,2.05,57.3,2,3,22.71,20.26
71.57,78.46,67.12,86.42,46.39,28.7,33.5,85.42,1,3,62.05,62.27
61.15,49.32,53.55,64.03,75.47,23.43,22.57,73.49,0,2,57.55,53.76
37.28,52.65,66.25,19.78,3.55,11.06,55.13,25.34,2,4,31.47,18.59
86.21,85.66,94.73,55.21,81.94,58.82,13.83,94.32,0,2,73.9,75.37
77.49,50.55,69.97,40.92,72.95,54.07,15.14,79.49,2,4,56.14,40.17
73.3,90.38,89.78,88.24,52.44,84.55,50.48,78.15,1,0,84.34,77.28
35.19,25.99,84.55,48.0,9.52,71.78,52.82,44.84,2,4,43.88,23.23
66.9,70.96,35.78,54.79,38.88,78.65,17.76,86.38,0,3,59.3,60.3
70.03,77.29,53.03,50.73,25.75,71.64,36.42,79.28,0,3,58.97,61.14
98.77,71.25,71.98,93.65,85.19,20.15,39.93,93.34,1,2,69.01,75.93
42.88,28.5,5.75,49.72,60.59,59.86,4.99,55.22,4,4,43.08,9.1
47.28,19.73,17.55,33.48,40.67,30.69,30.09,91.77,2,6,29.44,15.77
73.21,88.96,76.88,97.97,48.4,9.4,64.05,97.03,0,3,67.71,73.23
53.56,36.94,55.7,72.97,64.15,44.6,7.75,73.84,2,4,50.43,36.39
81.17,82.18,24.67,18.96,22.83,44.23,5.82,56.29,0,1,43.47,56.19
95.26,85.45,90.73,68.32,55.42,38.46,64.6,94.31,2,1,82.02,71.25
76.47,94.63,71.28,73.61,59.74,23.3,60.37,96.28,1,2,77.91,65.0
98.08,96.08,92.21,78.29,61.98,50.33,45.61,85.86,0,1,81.76,90.66
42.69,58.26,33.5,26.46,2.25,9.52,55.01,36.9,2,5,36.39,21.93
99.64,93.64,90.96,76.09,43.41,87.46,29.02,76.25,1,1,89.22,81.0
18.9,46.19,24.09,35.15,0.16,74.5,14.04,48.1,3,4,36.77,11.49
75.42,48.72,66.23,48.05,64.6,53.97,33.09,98.25,0,4,58.67,56.9
82.39,96.24,91.24,99.63,64.23,62.7,25.71,98.69,2,3,84.51,74.73
31.38,45.35,23.06,35.59,23.97,30.61,22.0,51.29,2,5,33.26,20.12
78.45,71.92,92.24,93.73,48.57,63.45,11.0,81.88,1,3,74.66,68.74
85.35,89.55,98.35,82.45,49.03,59.42,27.24,99.4,1,1,81.28,77.09
35.63,22.2,51.48,46.97,22.56,40.84,24.49,76.61,2,4,34.82,22.91
51.08,37.25,42.06,41.94,33.64,34.23,12.01,77.24,3,4,40.68,22.17
94.11,95.12,70.87,55.34,53.49,75.76,71.33,78.46,0,0,74.37,77.1
72.93,79.8,86.69,96.98,88.95,6.62,11.73,94.77,1,2,71.07,66.12
17.41,21.17,30.37,27.54,48.03,48.95,49.6,94.97,3,7,37.3,7.34
60.22,53.27,37.21,58.61,46.2,70.87,58.25,93.74,3,5,61.09,32.64
74.47,41.19,72.8,29.8,34.21,48.05,4.73,66.85,2,3,43.65,38.88
44.57,8.4,8.08,47.34,57.62,40.42,40.96,49.64,3,7,27.98,3.54
69.76,54.98,50.82,35.96,37.5,67.63,8.32,68.01,1,5,53.33,43.26
41.45,64.21,49.17,35.54,65.63,78.05,52.37,32.12,0,2,55.36,43.61
63.18,70.63,65.55,26.33,27.97,54.14,34.03,74.11,0,2,47.72,54.04
53.93,57.44,48.53,53.2,65.6,5.95,0.07,72.43,1,4,49.57,41.31
60.71,75.23,37.56,35.76,60.15,17.59,47.57,72.49,0,0,49.27,58.32
95.53,76.21,77.63,57.49,54.66,25.16,51.89,80.13,1,1,52.86,65.02
87.83,69.27,94.83,88.94,80.09,49.98,84.72,76.1,2,4,74.6,66.53
17.15,48.93,27.43,27.15,67.96,28.55,19.88,74.24,2,4,42.9,24.66
34.75,17.93,22.48,23.73,44.32,69.51,46.64,64.57,2,6,38.92,8.93
33.28,16.04,19.02,20.82,6.62,12.45,36.16,64.45,4,5,19.21,0.0
48.96,29.87,36.79,2.89,66.19,29.44,46.2,73.95,3,4,39.61,17.37
91.79,94.83,82.37,75.96,35.3,74.73,28.11,96.97,2,2,78.26,70.51
30.86,26.82,53.1,53.0,59.89,14.07,29.71,88.91,1,6,43.92,25.35
63.54,50.5,44.05,37.15,8.88,63.58,50.26,35.52,2,6,43.03,30.79
67.77,42.03,63.74,43.84,62.12,3.61,32.32,83.28,1,4,47.8,37.27
98.31,79.17,93.31,98.85,39.44,61.91,74.07,90.86,0,3,80.93,80.42
80.06,27.42,65.88,29.61,67.72,3.61,56.15,55.99,3,7,40.38,23.72
61.67,48.83,48.93,14.1,72.66,24.85,11.36,35.58,1,5,44.66,36.96
50.99,42.11,51.89,6.98,55.71,40.93,27.17,89.95,3,6,29.28,19.93
56.93,51.83,38.86,28.87,71.79,40.15,65.15,86.43,1,4,40.98,45.74
84.5,97.77,99.2,65.64,37.7,14.59,5.38,79.88,1,1,72.84,75.05
93.62,86.62,95.24,97.7,54.13,8.61,19.2,85.95,1,2,72.39,76.32
78.26,87.86,88.55,74.56,47.58,68.58,14.35,98.42,0,0,69.5,81.07
59.41,77.78,55.91,48.9,50.31,6.01,41.51,72.98,1,3,64.1,56.01
57.35,28.62,73.44,52.13,58.63,34.25,38.28,56.68,3,7,47.73,26.79
52.43,50.5,72.79,42.87,55.24,36.78,12.93,52.57,2,5,50.08,28.42
47.81,31.64,82.14,20.04,14.83,23.31,31.76,57.66,3,6,34.06,21.4
49.87,46.76,48.26,31.36,58.01,63.45,4.9,81.84,2,2,50.22,31.88
20.11,18.04,9.7,25.71,27.44,18.07,37.59,60.69,3,5,24.09,1.75
52.79,67.82,74.99,49.9,63.58,78.05,69.92,86.47,1,2,66.31,59.65
68.51,81.7,82.3,73.33,66.25,52.46,71.11,77.72,0,3,67.56,67.81
47.38,15.72,22.09,14.74,42.44,70.41,17.23,72.85,4,6,23.15,0.34
53.94,75.05,64.29,22.47,13.16,64.96,15.88,58.79,1,1,48.31,46.76
98.86,74.26,80.05,74.46,48.92,73.7,65.61,84.46,0,1,72.92,82.1
36.82,37.48,53.73,62.65,6.68,31.62,44.82,38.75,3,3,39.45,17.72
36.97,34.52,54.06,22.65,28.23,69.25,12.29,81.49,2,6,46.2,17.02
82.84,75.13,92.86,95.84,79.15,25.27,23.3,81.37,1,1,75.61,82.17
26.77,1.76,8.91,35.16,54.8,15.82,45.87,87.55,1,8,23.85,8.64
65.42,67.68,40.52,64.04,81.31,65.55,30.89,95.68,1,1,64.83,50.13
75.63,82.6,82.68,81.22,56.73,74.75,77.62,81.17,1,1,77.51,67.71
50.35,36.09,50.48,54.13,24.64,47.87,23.7,94.33,2,5,44.43,30.61
26.08,49.0,48.59,16.57,53.91,25.26,30.32,77.92,1,3,35.33,27.39
61.35,37.37,49.98,68.26,26.85,35.68,66.16,66.78,1,2,44.4,39.09
70.72,45.57,44.92,26.36,82.51,63.9,44.49,91.04,2,6,48.67,36.51
96.42,93.41,77.23,81.04,42.76,92.37,76.75,98.05,0,2,77.24,87.6
70.28,99.64,67.59,60.96,80.5,55.12,65.83,90.77,0,1,76.6,72.76
56.42,55.11,42.3,64.83,40.64,13.82,17.24,94.47,0,4,44.62,46.05
22.92,10.83,37.89,50.04,20.65,42.66,14.49,72.71,5,8,26.64,0.0
38.34,34.13,4.07,24.58,28.63,6.5,11.12,67.05,5,4,23.74,0.0
65.45,74.9,56.15,51.43,61.12,66.38,5.03,83.05,0,1,64.71,66.92
56.18,35.85,34.1,16.19,0.04,34.56,46.15,52.14,2,4,29.18,19.94
88.05,76.42,87.45,73.55,76.78,21.91,76.99,87.51,1,4,63.64,62.34
53.26,46.3,60.05,74.68,84.42,47.41,44.73,95.1,3,5,62.49,33.35
59.51,77.38,77.36,70.31,72.91,24.22,22.46,84.15,1,2,67.29,60.24
24.01,16.53,7.0,10.38,59.54,33.47,11.39,82.97,2,5,25.98,3.42
21.55,3.25,3.02,32.0,1.52,63.66,7.77,75.33,4,4,25.25,0.0
35.52,35.72,78.75,45.72,11.25,16.22,39.6,51.82,1,3,33.87,35.48
56.87,44.65,36.98,42.61,67.68,1.66,30.74,87.54,1,4,34.84,38.59
83.2,86.12,73.59,56.91,47.3,43.21,35.18,79.42,0,1,70.84,75.11
97.6,98.32,65.42,89.34,88.36,86.06,82.51,88.76,1,0,91.77,75.78
63.87,41.6,66.81,28.75,68.79,76.41,33.07,82.84,1,3,48.77,47.82
75.03,81.24,97.99,88.04,46.84,81.66,32.15,96.29,0,1,75.22,80.18
51.47,7.53,4.86,37.08,23.78,5.34,23.77,82.69,4,3,15.37,3.34
28.75,47.65,35.79,6.37,61.96,36.69,7.08,52.63,1,4,37.68,24.57
58.67,57.44,47.02,26.6,61.86,33.63,45.59,68.8,2,5,49.6,35.11
25.87,26.52,32.64,1.2,36.06,25.86,21.06,50.01,3,5,26.02,6.45
21.96,39.38,34.78,51.1,68.67,3.18,22.25,72.35,2,2,44.05,24.06
72.81,48.93,55.63,73.9,53.49,11.78,3.62,98.09,2,4,47.56,45.5
58.61,83.27,36.82,42.8,64.46,35.86,16.77,56.65,1,1,60.56,51.07
46.03,51.85,43.61,59.0,35.88,60.73,18.44,77.43,2,6,47.69,27.22
34.02,10.69,49.51,18.85,2.73,37.1,6.2,56.92,4,6,21.82,0.0
39.97,49.64,18.78,8.96,36.34,39.99,8.9,75.66,2,4,33.07,20.07
75.69,74.59,66.15,67.57,45.61,35.97,32.74,83.48,0,3,63.86,61.41
51.61,46.43,27.73,29.25,22.02,58.05,38.24,87.21,2,5,41.22,29.05
75.66,39.06,77.75,63.5,30.6,59.06,2.39,91.96,2,6,48.56,38.76
81.25,66.49,80.69,66.93,56.6,40.38,74.75,81.76,1,4,68.13,61.18
53.49,56.62,41.53,42.6,58.95,37.21,57.67,73.99,4,3,51.44,25.25
84.85,70.95,93.64,81.29,49.49,88.31,9.79,89.1,0,1,70.98,80.09
84.39,74.05,88.2,60.34,86.54,85.0,15.81,83.08,0,3,71.5,71.63
99.99,80.94,95.54,76.71,85.73,8.34,9.69,98.24,0,1,67.79,79.75
51.27,73.63,45.89,60.26,29.03,3.49,45.76,76.87,1,0,47.55,46.38
15.73,16.01,20.26,29.54,20.78,4.55,18.44,57.73,3,3,19.55,1.12
56.4,57.96,68.19,43.94,60.25,86.96,36.54,96.84,2,4,60.55,47.07
56.54,30.57,56.53,18.23,56.36,40.61,43.41,57.17,3,3,39.34,21.4
11.53,27.81,11.89,47.32,45.39,31.52,9.41,61.95,4,3,27.11,1.62
18.39,14.62,53.46,38.95,42.74,23.07,14.96,46.98,2,4,31.07,15.89
70.56,53.3,51.59,38.35,24.35,41.74,25.87,47.13,2,0,41.23,43.13
79.27,75.06,71.11,89.38,62.3,87.33,2.77,76.67,1,4,74.08,55.51
74.34,85.08,82.43,81.12,55.72,78.54,11.78,85.71,1,3,85.62,71.75
73.45,67.42,90.48,67.96,74.81,6.31,73.32,95.89,1,2,64.21,61.76
85.54,79.92,92.84,77.0,62.54,93.96,12.76,95.77,1,4,79.49,72.83
21.06,20.93,20.16,28.68,32.36,24.52,15.27,57.54,1,6,16.39,14.98
90.2,94.67,73.31,61.78,35.47,4.49,64.79,99.68,1,3,69.72,74.26
25.09,0.55,32.74,54.52,18.03,14.21,6.2,72.76,4,7,22.79,0.0
20.39,27.79,16.36,18.14,65.24,51.14,48.73,65.85,3,8,39.74,4.82
47.22,75.05,40.33,34.9,70.92,8.72,63.02,90.4,1,1,53.28,48.78
40.17,29.31,17.74,38.35,66.99,44.06,33.22,66.86,2,2,39.35,18.08
60.89,59.58,37.11,45.21,59.98,52.67,46.01,90.21,2,2,49.62,37.95
84.88,95.55,88.77,59.07,67.58,21.07,62.39,95.69,1,0,71.47,79.24
40.38,25.99,20.25,2.77,10.01,14.48,18.67,92.21,3,7,14.77,6.03
26.1,38.63,44.15,6.1,42.61,71.93,20.11,47.55,2,4,40.62,15.26
94.22,82.45,66.19,85.74,87.28,78.77,23.56,76.33,1,1,75.19,75.5
58.85,40.14,39.16,36.64,75.2,13.12,15.87,84.2,1,3,45.64,39.56
48.31,7.55,50.24,49.64,58.04,47.35,31.01,76.96,4,5,44.52,8.23
25.85,0.62,28.04,27.9,30.59,25.48,12.49,71.38,4,7,17.74,0.0
62.93,56.47,62.68,72.5,42.11,62.35,1.75,74.18,2,4,62.66,47.25
31.7,30.2,21.78,2.27,7.0,49.12,49.78,45.79,2,5,31.58,10.96
67.99,71.94,40.26,71.31,26.56,75.26,5.37,71.81,1,2,63.02,52.71
58.28,68.01,73.4,57.63,32.46,26.59,63.93,68.11,2,3,60.0,48.41
29.18,37.67,1.74,7.93,42.99,17.44,33.3,62.56,2,4,16.74,12.26
83.82,71.91,95.13,92.04,84.62,83.36,81.57,80.71,2,1,84.0,72.65
54.52,45.38,38.54,49.83,78.27,56.71,36.47,80.0,1,6,56.44,34.13
41.92,28.74,47.46,16.01,61.71,54.71,39.94,78.23,2,8,41.53,19.52
29.02,46.35,21.69,31.1,7.42,16.93,42.03,64.83,2,5,28.72,13.66
38.3,59.49,50.37,49.93,33.55,31.89,28.31,46.53,1,4,44.75,41.76
71.42,71.71,41.6,54.13,42.12,66.53,16.71,88.5,1,3,53.81,53.26
51.45,43.74,9.12,45.08,2.25,29.5,43.54,79.44,3,4,29.63,15.91
74.45,44.89,42.33,57.14,83.32,22.25,17.48,69.88,3,3,47.21,34.05
85.81,82.93,93.26,70.99,57.57,15.95,62.97,94.62,1,1,70.02,73.66
63.32,49.37,46.7,48.0,35.89,47.67,49.47,85.14,0,4,53.81,47.0
70.83,43.87,43.03,49.85,26.98,20.28,50.68,94.31,1,4,41.38,45.76
38.31,26.25,35.9,50.55,7.04,23.68,3.62,92.24,3,4,33.63,6.59
93.58,96.06,66.71,88.93,54.51,61.62,43.69,81.49,0,3,73.24,80.54
52.15,64.75,64.53,51.96,81.1,34.69,58.51,67.63,0,1,67.01,56.81
24.84,33.97,42.37,54.9,34.47,4.6,29.79,50.95,1,6,40.55,24.47
69.44,95.56,89.27,56.8,36.56,53.07,24.02,89.92,0,2,73.88,76.2
98.59,99.33,90.87,75.93,47.1,77.19,62.59,80.55,1,2,86.82,83.35
37.29,13.52,20.44,2.51,55.09,32.47,21.91,57.27,2,6,26.39,7.03
25.81,19.01,23.72,44.83,22.46,56.85,46.98,78.04,4,6,36.1,0.58
48.44,52.84,40.33,45.52,58.42,83.76,2.54,86.75,0,4,47.6,43.5
80.84,83.52,65.03,62.28,40.15,52.22,27.97,88.71,0,2,68.36,67.03
72.69,99.34,86.62,82.46,89.27,8.4,82.83,80.1,0,2,79.14,81.66
99.91,78.27,87.71,98.56,38.17,87.67,48.26,92.61,0,1,82.99,87.68
75.81,94.9,66.21,86.9,89.97,0.71,13.69,91.85,0,0,73.96,76.41
68.01,60.55,43.93,53.16,77.91,60.01,33.03,76.26,0,0,57.85,53.38
94.08,70.9,74.93,73.82,52.84,75.84,81.4,96.88,1,3,73.35,68.06
56.1,41.75,35.51,37.4,79.84,71.75,67.89,68.53,3,4,46.79,30.48
63.94,42.88,55.17,57.54,32.69,83.75,35.4,93.68,3,3,61.6,36.39
54.18,39.28,61.07,28.32,39.48,5.46,38.42,70.61,1,3,35.78,38.89
63.58,55.33,63.17,35.5,83.75,8.83,58.05,85.79,0,1,57.51,55.01
48.65,38.42,67.29,39.65,78.36,68.59,48.87,74.75,3,6,49.4,29.6
80.58,90.98,81.6,80.68,52.28,13.42,22.69,96.49,0,1,71.67,75.86
75.36,99.49,89.71,82.8,35.27,17.51,54.02,84.49,0,1,76.06,77.74
48.58,12.43,48.76,5.36,45.39,58.71,30.73,69.78,4,6,37.21,5.41
59.58,45.51,72.96,43.7,51.76,36.87,12.74,90.61,3,3,55.26,37.78
46.5,45.34,18.56,33.6,42.62,20.05,11.1,50.7,2,3,33.99,26.89
82.52,84.14,97.17,94.37,85.38,80.77,81.99,86.64,1,1,87.25,80.62
44.18,82.56,69.45,51.66,50.7,26.52,38.79,31.91,1,2,59.37,48.91
28.95,31.62,8.77,37.03,18.94,20.46,8.11,61.62,3,6,30.02,1.4
49.25,64.62,75.59,46.34,79.07,8.85,3.01,90.25,1,6,56.56,44.27
55.01,42.44,77.83,28.18,74.62,57.55,51.46,89.91,3,3,54.36,30.1
49.08,43.0,49.27,28.51,28.41,82.44,21.85,99.38,1,4,50.97,40.31
14.04,9.43,4.22,33.23,69.06,50.4,35.54,94.23,2,5,32.5,8.49
84.23,97.8,74.01,77.12,44.56,5.48,6.85,93.18,1,2,70.89,69.67
85.71,89.5,87.68,72.46,65.53,8.94,13.12,98.29,0,2,67.12,78.9
54.59,25.22,24.07,17.12,7.15,28.14,42.08,54.25,4,4,36.63,6.01
55.91,46.79,69.91,63.0,66.73,12.51,56.55,88.7,2,3,51.4,40.22
84.59,68.5,70.75,60.96,87.48,27.06,30.19,83.05,1,1,60.47,62.12
85.8,77.09,93.07,94.57,60.99,92.28,47.01,81.77,1,3,78.09,69.41
63.66,36.85,38.41,59.81,29.31,42.94,23.71,72.98,2,4,37.5,31.98
62.95,63.5,66.15,55.77,61.49,38.68,32.0,36.98,2,2,58.25,47.51
74.1,87.36,87.0,73.95,39.96,41.17,29.98,93.01,2,5,75.69,64.13
30.87,23.96,1.46,51.84,22.34,19.2,49.97,80.93,3,3,26.22,14.13
97.87,97.79,84.11,82.75,51.05,6.08,62.68,77.54,0,1,74.44,85.85
43.66,30.22,46.58,22.36,59.41,37.99,11.15,92.21,2,5,35.31,27.79
62.31,72.97,47.57,51.04,45.41,73.96,11.03,68.62,1,2,55.46,56.02
26.49,1.64,6.39,2.13,23.03,37.16,17.82,73.03,5,7,11.48,0.0
64.31,60.65,48.53,41.52,66.64,58.27,9.45,80.44,2,2,56.42,46.02
59.0,35.44,74.36,47.75,82.26,25.81,60.64,97.28,3,5,48.28,31.37
55.65,41.11,28.99,55.41,73.06,2.27,44.43,59.3,3,2,39.33,28.22
94.7,83.32,96.75,94.51,79.69,49.01,21.4,87.65,0,1,80.16,84.78
77.58,73.12,86.7,90.41,38.15,80.78,73.17,83.56,1,3,77.24,69.79
96.11,97.35,93.76,80.31,65.67,93.54,21.07,76.9,0,0,85.97,89.76
53.71,43.08,36.74,43.22,77.74,30.3,47.54,91.48,2,2,40.5,34.2
69.12,99.68,92.38,97.19,84.63,1.94,67.31,86.28,0,1,83.15,82.89
36.03,15.06,17.07,53.17,30.74,33.53,27.62,65.48,2,5,21.59,11.01
61.52,51.53,65.84,64.49,42.22,56.0,44.98,50.03,3,4,55.4,29.78
49.26,70.1,65.83,62.91,48.52,76.88,28.98,84.97,1,2,69.78,51.67
71.73,64.3,46.96,72.95,67.44,88.91,67.99,97.16,1,1,70.09,59.15
31.88,43.41,6.03,20.95,35.42,32.42,5.43,52.68,2,5,27.05,13.2
50.42,65.32,69.2,36.41,60.53,13.9,21.25,96.11,2,3,47.63,38.97
60.84,77.9,39.92,67.6,76.82,49.79,24.08,83.17,2,3,57.89,51.72
31.6,35.55,27.72,49.75,12.91,73.0,40.61,88.04,3,5,43.1,16.4
77.83,80.6,76.28,72.42,80.11,24.38,63.35,76.84,0,3,69.05,74.86
72.63,48.43,51.47,60.66,21.94,64.31,19.68,54.82,1,3,53.66,47.12
54.47,40.59,56.55,36.0,81.13,0.36,10.02,73.63,1,6,43.17,29.88
74.38,60.91,64.86,43.28,34.58,28.85,67.5,86.76,1,4,50.19,51.41
74.21,63.91,62.64,34.49,31.38,86.86,41.92,79.55,1,1,62.23,50.93
32.44,13.83,1.66,44.87,12.35,3.89,37.79,62.5,3,7,25.81,0.0
77.9,72.11,76.12,58.73,43.72,39.62,74.75,76.43,0,3,64.59,67.36
81.43,72.39,69.5,72.1,66.67,34.19,51.92,82.41,0,2,65.56,73.57
54.18,37.29,66.73,33.55,50.54,43.83,12.91,68.31,4,2,50.29,25.28
87.21,68.23,83.99,88.84,58.3,28.44,4.03,75.62,0,4,70.33,66.94
78.6,88.45,80.37,88.04,82.72,72.05,84.34,93.86,0,3,86.81,81.63
57.33,63.3,53.47,65.32,32.35,65.58,47.96,60.59,0,5,57.81,49.11
61.96,59.75,30.87,73.37,19.13,57.98,47.75,41.32,2,4,52.45,37.17
90.94,73.76,95.67,68.93,46.01,8.06,43.48,86.27,1,1,57.74,71.02
97.69,70.78,99.59,69.71,39.86,23.63,4.97,94.75,1,2,66.71,71.09
80.18,65.84,73.16,61.51,36.85,56.36,4.7,53.05,0,1,63.72,62.39
84.79,97.48,98.61,60.75,54.2,66.32,18.83,83.12,0,1,80.8,82.31
42.69,20.76,15.04,0.86,14.46,23.43,8.91,46.01,3,5,16.92,3.6
33.85,6.88,31.02,3.39,30.16,29.27,21.39,58.99,4,8,17.7,0.0
46.03,66.09,58.43,38.54,44.67,84.2,43.71,81.66,4,2,53.23,36.38
67.62,36.72,69.19,39.15,65.95,57.85,45.68,86.28,2,2,53.16,37.03
58.99,46.94,50.77,44.55,61.23,19.79,56.3,80.31,3,3,41.88,33.86
24.44,47.46,17.83,31.01,18.02,46.51,23.35,63.53,1,6,43.16,16.31
45.06,75.98,35.86,45.93,68.05,82.31,49.9,81.23,1,0,58.42,55.39
72.56,88.22,83.06,78.54,85.85,58.91,26.44,85.0,0,2,79.42,75.68
32.27,18.72,36.77,44.71,61.69,41.03,40.99,70.57,4,7,37.03,3.58
62.12,58.43,63.4,46.53,38.07,78.02,24.22,97.3,1,5,59.17,49.37
97.12,83.6,85.51,77.96,36.98,47.22,22.4,83.57,1,6,74.0,65.16
74.11,86.29,71.22,94.68,46.54,8.66,74.44,82.38,1,0,73.01,67.72
86.99,99.62,98.14,59.77,56.78,29.98,11.03,92.37,0,0,69.33,85.51
49.73,76.02,41.23,51.09,36.82,6.87,14.16,66.92,1,1,47.41,47.09
64.18,45.07,51.0,28.59,38.21,42.01,69.33,99.87,1,4,48.77,43.11
68.45,68.33,80.86,70.28,44.92,68.03,30.35,96.3,3,2,62.76,45.63
73.17,86.43,74.23,62.76,86.14,4.09,48.04,88.71,0,3,70.83,65.62
74.19,76.02,96.58,90.84,87.08,61.94,56.35,87.0,1,2,87.0,73.23
49.09,51.89,48.47,67.34,47.73,73.94,30.97,91.37,2,2,66.81,41.92
76.48,77.84,90.11,97.73,71.8,51.98,38.13,95.7,2,3,76.55,65.57
50.61,35.18,8.89,32.24,8.31,59.19,14.07,79.76,2,5,32.81,18.09
50.77,36.25,52.48,57.46,59.44,14.06,31.55,77.93,3,6,40.43,24.55
60.35,62.02,24.76,21.58,7.57,61.19,50.16,31.9,2,4,41.88,36.7
48.02,14.75,36.23,30.78,21.41,68.06,4.77,80.6,5,6,31.28,5.17
42.37,25.02,42.23,14.73,41.27,64.89,15.9,69.18,2,6,34.25,17.34
